timestamp,open,high,low,close,bid,ask,volume_base,volume_quote,trade_count,spread,volatility
2024-01-01T00:00:00,10000.00,10000.00,10000.00,10000.00,9997.46,10002.54,1038,10388276,136,5.07,0.005000
2024-01-01T00:01:00,10000.00,10052.50,9947.50,10021.07,10018.42,10023.72,1648,16515777,212,5.31,0.020000
2024-01-01T00:02:00,10021.07,10138.99,9067.44,9067.44,9065.04,9069.84,1506,13660903,207,4.81,0.020000
2024-01-01T00:03:00,9067.44,10021.08,9014.22,10021.08,10018.42,10023.74,1555,15584435,202,5.31,0.020000
2024-01-01T00:04:00,10021.08,10115.15,9067.44,9067.44,9065.04,9069.84,1426,12932881,206,4.79,0.018675
2024-01-01T00:05:00,9067.44,10021.07,9004.08,10021.07,10018.42,10023.72,1380,13832079,200,5.31,0.020000
2024-01-01T00:06:00,10021.07,10119.77,9067.43,9067.43,9065.04,9069.82,1621,14706406,226,4.78,0.018085
2024-01-01T00:07:00,9067.43,10021.07,9021.50,10021.07,10018.42,10023.72,1316,13189267,196,5.31,0.020000
2024-01-01T00:08:00,10021.07,10086.75,9067.43,9067.43,9065.02,9069.84,1597,14489724,212,4.81,0.020000
2024-01-01T00:09:00,9067.43,10021.07,8991.58,10021.07,10018.42,10023.72,1578,15815505,213,5.31,0.020000
2024-01-01T00:10:00,10021.07,10131.68,9067.45,9067.45,9065.04,9069.86,1136,10305412,156,4.81,0.020000
2024-01-01T00:11:00,9067.45,10021.09,8955.94,10021.09,10018.44,10023.74,1446,14495890,167,5.31,0.020000
2024-01-01T00:12:00,10021.09,10126.51,9067.45,9067.45,9065.04,9069.86,1670,15147119,221,4.81,0.020000
2024-01-01T00:13:00,9067.45,10021.09,8966.03,10021.09,10018.44,10023.74,1385,13885831,180,5.31,0.020000
2024-01-01T00:14:00,10021.09,10075.79,9067.46,9067.46,9065.06,9069.86,1638,14855364,211,4.81,0.020000
2024-01-01T00:15:00,9067.46,10021.09,8995.88,10021.09,10018.44,10023.74,1591,15948505,184,5.31,0.020000
2024-01-01T00:16:00,10021.09,10094.55,9067.45,9067.45,9065.06,9069.84,1467,13307613,205,4.79,0.018846
2024-01-01T00:17:00,9067.45,10021.08,8989.03,10021.08,10018.42,10023.74,1616,16203052,209,5.31,0.020000
2024-01-01T00:18:00,10021.08,10165.05,9067.45,9067.45,9065.04,9069.86,1658,15036954,209,4.81,0.020000
2024-01-01T00:19:00,9067.45,10021.08,8966.88,10021.08,10018.42,10023.74,1758,17626730,214,5.31,0.020000
2024-01-01T00:20:00,10021.08,10109.21,9067.44,9067.44,9065.04,9069.84,1317,11949431,173,4.81,0.020000
2024-01-01T00:21:00,9067.44,10021.08,8973.19,10021.08,10018.44,10023.72,1458,14611342,187,5.28,0.018237
2024-01-01T00:22:00,10021.08,10148.95,9067.46,9067.46,9065.06,9069.86,1491,13523195,189,4.81,0.020000
2024-01-01T00:23:00,9067.46,10021.08,9019.21,10021.08,10018.42,10023.74,1651,16549213,201,5.31,0.020000
2024-01-01T00:24:00,10021.08,10165.68,9067.45,9067.45,9065.04,9069.86,1453,13179381,193,4.81,0.020000
2024-01-01T00:25:00,9067.45,10021.09,8993.58,10021.09,10018.44,10023.74,1411,14149137,187,5.31,0.020000
2024-01-01T00:26:00,10021.09,10117.17,9067.46,9067.46,9065.06,9069.86,1428,12953655,201,4.81,0.020000
